Metric Name,Type,Priority,Metric Meaning,Practical interpretation/Context
cng_order_rate_nc,NV Check Metric,0,Orders per customer per day for new customers in the New Verticals segment.,"typically a tiebreaker metric capturing overall NV trends/ecosystem health. DbD and NV have a symbiotic relationship, with NV driving ~40% of DbD orders. if we're regressing this, chances are things are bad"
consumer_mto,DoorDash Check Metric,0,Average number of support tickets filed by consumers per day.,
consumers_mau,DoorDash Check Metric,0,Number of unique customers who placed at least one order in a given month.,"of major importance to the company. dealbreaker if we regress, allows us to claim company-wide impact (DD iGOV) if it increases, where we typically only claim O2 GOV"
dashpass_signup,DashPass Check Metric,0,Number of customers who signed up for DashPass during the time period.,"sometimes doubledash, especially on post-checkout, redirects traffic to dashpass. this is usually a sign of app-wide performance spillover, and is almost never a consequence of direct design displacing/obscuring DP signup points on post-checkout"
dbd_attach_rate_post_checkout,DbD Performance Metric,0,Rate at which customers added a DoubleDash item after completing their initial order checkout.,
dbd_attach_rate_pre_and_post,DbD Performance Metric,0,Rate at which customers added a DoubleDash item either before or after their initial order checkout.,
dbd_attach_rate_pre_checkout,DbD Performance Metric,0,Rate at which customers added a DoubleDash item before completing their initial order checkout.,
dbd_o2_aov,DbD Performance Metric,0,Average order value (subtotal only) for DoubleDash (O2) orders.,"this often increases in bad cases where we lose Cx on the margins (and thus only retain higher spending active Cx) and decreases when we acquire new, lower-spending Cx. not necessarily a tiebreaker in either direction"
dbd_o2_gmv,DbD Performance Metric,0,Total topline GMV from DoubleDash (O2) orders (calculated as order rate × GOV).,ground truth metric. good for us if it's up. bad for us if not. 
dbd_o2_subtotal,DbD Performance Metric,0,Subtotal (pre-fees/tips) for all DoubleDash (O2) items in an order.,"this often increases in bad cases where we lose Cx on the margins (and thus only retain higher spending active Cx) and decreases when we acquire new, lower-spending Cx. not necessarily a tiebreaker in either direction"
dbd_o2_trials_per_cx,DbD Performance Metric,0,Average number of DoubleDash (O2) trials per customer.,"important, but an input to order rate and gmv, which are at the top of our pyramid"
dbd_order_rate,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day.,ground truth metric. good for us if it's up. bad for us if not. 
doubledash_l_28_d_mau,DbD Performance Metric,0,Number of unique customers who placed at least one DoubleDash order in the last 28 days.,"important, but an input to order rate and gmv, which are at the top of our pyramid"
dsmp_order_rate_7d,DoorDash Check Metric,0,Average number of orders per customer per day across DoorDash over the past 7 days.,lower variance (will be more significant) than overall dbd_order_rate
dsmp_perc_mx_trialers,DoorDash Check Metric,0,Percentage of customers who trial a new merchant for them per day.,interesting metric. typically we don't move it on dbd but when we do it's usually a sign of broad discovery occurring on O1 as a downstream effect of Doubledash. 
o1_subtotal,DoorDash Check Metric,0,Subtotal (pre-fees and tips) of the primary (O1) order that preceded a DoubleDash attachment.,"classic check metric, especially for pre-checkout doubledash. as more Cx use PCC, they typically leave some subtotal off of the O1. combined subtotal is the tiebreaker metric here. "
ox_subtotal_combined,DoorDash Check Metric,0,Platform subtotal summed across all orders (excluding fees and tips).,subtotal tiebreaker. good if up
account_or_system_push_opt_out,DoorDash Check Metric,2,Rate at which customers opt out of account-level or system-level push notifications.,
ads_promotion_promotion_cx_discount,DoorDash Check Metric,2,Discount value applied to customers through ad-driven promotions.,
ads_revenue,DoorDash Check Metric,1,Revenue generated from in-app or platform advertisements.,"colloquially known as sponsored listing or ads revenue. rare if it moves, but will go down if we decrease overall app engagement"
avg_dat_mins,DoorDash Check Metric,2,Average time in minutes for delivery assignment (DAT = delivery assignment time).,amount of time a dasher is completing an order. good for understanding dasher cost results if batch rate hasn't moved.
consumer_order_frequency_l_28_d,DoorDash Check Metric,1,Average number of orders per consumer over the last 28 days.,"overall order frequency on the app. not claimable for DD iGOV, but useful in understanding the contours of user behavior. also moves more significantly than other O1 indicators."
cx_app_quality_action_load_latency_android,App Quality Check Metric,1,"Time it takes to load a specific action page (e.g., home, search, checkout) in the Android app.","app quality metric- app wide, the dimension values here matter a lot, as they'll speak to the specific action that was impacted. pay attention tto the dimension results."
cx_app_quality_action_load_latency_ios,App Quality Check Metric,1,"Time it takes to load a specific action page (e.g., home, search, checkout) in the iOS app.","app quality metric- app wide, the dimension values here matter a lot, as they'll speak to the specific action that was impacted. pay attention tto the dimension results."
cx_app_quality_action_load_latency_web,App Quality Check Metric,1,"Time it takes to load a specific action page (e.g., home, search, checkout) on the web app.","app quality metric- app wide, the dimension values here matter a lot, as they'll speak to the specific action that was impacted. pay attention tto the dimension results."
cx_app_quality_crash_android,App Quality Check Metric,1,Crash rate experienced by customers using the Android app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_crash_ios,App Quality Check Metric,1,Crash rate experienced by customers using the iOS app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_crash_web,App Quality Check Metric,1,Crash rate experienced by customers using the web platform.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_hitch_android,App Quality Check Metric,1,Rate of scroll performance issues experienced by customers on Android.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_hitch_ios,App Quality Check Metric,1,Rate of scroll performance issues experienced by customers on iOS.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_inp_web,App Quality Check Metric,1,Web performance metric measuring delay between a user interaction and next visual update.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_action_error_android,App Quality Check Metric,1,Rate at which a page fails to respond as expected after customer action on the Android app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_action_error_ios,App Quality Check Metric,1,Rate at which a page fails to respond as expected after customer action on the iOS app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_action_error_web,App Quality Check Metric,1,Rate at which a page fails to respond as expected after customer action on the web platform.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_error_android,App Quality Check Metric,1,Rate of errors encountered while loading a page on the Android app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_error_ios,App Quality Check Metric,1,Rate of errors encountered while loading a page on the iOS app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_error_web,App Quality Check Metric,1,Rate of errors encountered while loading a page on the web platform.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_latency_android,App Quality Check Metric,1,Time it takes for a page to fully load on the Android app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_latency_ios,App Quality Check Metric,1,Time it takes for a page to fully load on the iOS app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_page_load_latency_web,App Quality Check Metric,1,Time it takes for a page to fully load on the web app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
cx_app_quality_tbt_web,App Quality Check Metric,1,Time during which the main thread is blocked and unable to respond to user input on the web app.,catchall app quality metric - something has to be pretty broken for our test to move this topline figure
dashpass_paid_balance,DashPass Check Metric,1,Customers who paid their DashPass loyalty program fee balance.,"natural extension of dashpass_signups, which are explained above. that said, this is the tiebreaker/cumulative effect metric that captures paid balance and gives a better rounded view of dashpass effects"
dbd_avg_o2_20_late,DbD Quality Metric,1,Average percentage of DoubleDash (O2) orders delivered more than 20 minutes late.,keep an eye on this for logistics tests; it moves with batching and has a direct input to overall O2 high quality delivery rate (HQDR)
dbd_avg_o2_cancellations,DbD Quality Metric,1,Average cancellation rate for DoubleDash (O2) orders.,latent indicator of Cx satifaction; will go negative if wait time increases. not usually related to other dimensions of delivery quality
dbd_avg_o2_dx_cost,DbD Quality Metric,1,Average cost associated with the Dasher (courier) for DoubleDash (O2) orders.,frequently comes up as the root cause of VP movements - particularly degradations - as dx cost is frequently changed by logistics/routing experiments
dbd_avg_o2_gov_1pc,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from 1st-party convenience merchants (DashMart).,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_3pc,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from 3rd-party convenience merchants.,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_alc,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from alcohol merchants.,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_flowers,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from flower merchants.,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_grocery,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from grocery merchants.,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_nv,DbD Performance Metric,1,"Average Gross Order Value of DoubleDash (O2) orders from New Verticals merchants (includes 1pc, 3pc, alc, grocery, etc.).","a more important vertical metric, but still a p1. NV drives ~40% of volume, most from 3PC"
dbd_avg_o2_gov_pets,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from pet supply merchants.,"these vertical specific metrics are tiebreakers/context metrics and an input to overall o2 gmv, not a dealbreaker if it goes negative nor is it a clear ship if it goes positive."
dbd_avg_o2_gov_rx,DbD Performance Metric,1,Average Gross Order Value of DoubleDash (O2) orders from restaurant merchants.,"a more important vertical metric, but still a p1. Rx drives ~60% of volume"
dbd_avg_o2_hqdr,DbD Quality Metric,0,Average high-quality delivery rate for DoubleDash (O2) orders.,super important - Cx have stated in research that concerns over delivery quality - specifically potential lateness/food quality - are meaningful in evaluating whether or not to order/reorder dbd
dbd_avg_o2_mi,DbD Quality Metric,0,Average rate of missing or incorrect items in DoubleDash (O2) orders.,
dbd_avg_o2_nd,DbD Quality Metric,0,Average rate of DoubleDash (O2) orders that were not delivered.,
dbd_avg_o2_package,DbD Quality Metric,,Average rate at which Dashers accept both orders in a single tap to fulfill as one delivery (packaged orders).,
dbd_avg_o2_sdb,DbD Quality Metric,,Average rate of DoubleDash (O2) orders delivered as Same Dasher Batch (SDB).,
dbd_avg_o2_subtotal_1pc,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from 1st-party convenience merchants.,
dbd_avg_o2_subtotal_3pc,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from 3rd-party convenience merchants.,
dbd_avg_o2_subtotal_alc,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from alcohol merchants.,
dbd_avg_o2_subtotal_flowers,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from flower merchants.,
dbd_avg_o2_subtotal_grocery,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from grocery merchants.,
dbd_avg_o2_subtotal_nv,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from all New Verticals merchants.,
dbd_avg_o2_subtotal_pets,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from pet supply merchants.,
dbd_avg_o2_subtotal_rx,DbD Performance Metric,,Average subtotal (pre-fees/tips) of DoubleDash (O2) orders from restaurant merchants.,
dbd_avg_o2_vp_1pc,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from 1st-party convenience merchants.,
dbd_avg_o2_vp_3pc,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from 3rd-party convenience merchants.,
dbd_avg_o2_vp_alc,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from alcohol merchants.,
dbd_avg_o2_vp_flowers,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from flower merchants.,
dbd_avg_o2_vp_grocery,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from grocery merchants.,
dbd_avg_o2_vp_nv,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from all New Verticals merchants.,
dbd_avg_o2_vp_pets,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from pet supply merchants.,
dbd_avg_o2_vp_rx,DbD Performance Metric,,Average variable profit (VP) for DoubleDash (O2) orders from restaurant merchants.,
dbd_bottom_sheet_load_latency_ios,DbD App Quality Metric,1,Time it takes for the DoubleDash bottom sheet offer drawer to load on iOS.,"quality metric that typically has an inverse relationship with per-user conversion. if latency spikes, conversions decrease. hard to root cause this with metrics, usually points to an implementation gap/issue."
dbd_cx_retrial,DbD Performance Metric,1,Rate at which customers come back and try DoubleDash again after 180 days without ordering.,"reactivation metric - there are a ton of trialists - as of 2/23/26, ~30% of DD WAU are DbD trialists that have been inactive for 180+ days"
dbd_existing_attach_rate_post_checkout,DbD Performance Metric,,Rate at which existing (returning) customers added a DoubleDash item after completing their initial order checkout.,
dbd_funnel_checkout_error,DbD App Quality Metric,,Rate of errors occurring during the DoubleDash checkout flow.,
dbd_funnel_click_item,DbD Funnel Metric,,"Rate at which customers click on a DoubleDash item in the funnel flow (e.g., after offer shown).",
dbd_funnel_load_checkout,DbD Funnel Metric,,Rate at which customers load the DoubleDash checkout page.,
dbd_funnel_load_store,DbD Funnel Metric,,Rate at which the DoubleDash store page successfully loads.,
dbd_funnel_payment_error,DbD Funnel Metric,,Rate of payment-related errors during the DoubleDash checkout flow.,
dbd_funnel_tap_place_order,DbD Funnel Metric,,Rate at which customers tap the 'Place Order' button in the DoubleDash funnel.,
dbd_funnel_time_to_purchase,DbD Funnel Metric,,Average time between a customer being offered DoubleDash and placing a DoubleDash order.,
dbd_new_attach_rate_post_checkout,DbD Performance Metric,,Rate at which new (first-time) customers added a DoubleDash item after completing their initial order checkout.,
dbd_nv_trials_net_new_per_cx,DbD Performance Metric,,Average number of net new New Verticals trials per customer (excluding repeats or retrials).,
dbd_nv_trials_per_cx,DbD Performance Metric,,Average number of New Verticals trials per customer (including retrials).,
dbd_nv_trials_retrial_per_cx,DbD Performance Metric,,Average number of New Verticals trial retrials per customer.,
dbd_o2_post_checkout_aov,DbD Performance Metric,,Average order value (subtotal only) for DoubleDash items added after the primary order checkout.,
dbd_o2_post_checkout_gmv,DbD Performance Metric,,Total GMV from DoubleDash items added after the primary order checkout.,
dbd_o2_pre_checkout_aov,DbD Performance Metric,,Average order value (subtotal only) for DoubleDash items added before the primary order checkout.,
dbd_o2_pre_checkout_gmv,DbD Performance Metric,,Total GMV from DoubleDash items added before the primary order checkout.,
dbd_o2_vp,DbD Performance Metric,0,Total variable profit (VP) generated from DoubleDash (O2) orders.,
dbd_o2_vp_per_cx,DbD Performance Metric,0,Average variable profit (VP) generated per customer from DoubleDash (O2) orders.,"big focus in 2026 - not necessarily launch blocking if regressing, but definitely a focus point for DbD these days. the platform grew to where it is now on the strength of its $0 delivery fee, which creates a significant VP headwind. these days, we're averaging - 30 cents per order, and there are only two wayhs to claw this back : reduce costs (typically dasher costs) or increase order value"
dbd_o_2_trials_per_cx_post_checkout,DbD Performance Metric,1,Average number of DoubleDash (O2) trials per customer where items were added after checkout.,
dbd_o_2_trials_per_cx_pre_checkout,DbD Performance Metric,1,Average number of DoubleDash (O2) trials per customer where items were added before checkout.,
dbd_order_frequency,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer over the full evaluation period.,"order rate is typically the driver of o2 gmv that we pay attention to, but order frequency is another driver. In general, order frequency increases reflect activity wins among active users. they're less impactful (& less common) in general, but still worth paying attention to. "
dbd_order_frequency_14d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer in the past 14 days.,lower variance order frequency metric. use the longest one  that's stat sig for anchoring analysis results
dbd_order_frequency_28d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer in the past 28 days.,lower variance order frequency metric. use the longest one  that's stat sig for anchoring analysis results
dbd_order_frequency_7d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer in the past 7 days.,lower variance order frequency metric. use the longest one  that's stat sig for anchoring analysis results
dbd_order_rate_14d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day over the past 14 days.,lower variance order rate metric. use the longest one  that's stat sig for actually claiming iGOV
dbd_order_rate_28d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day over the past 28 days.,lower variance order rate metric. use the longest one  that's stat sig for actually claiming iGOV
dbd_order_rate_7d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day over the past 7 days.,lower variance order rate metric. use the longest one  that's stat sig for actually claiming iGOV
dbd_post_checkout_browsed_carousels_fyp_nv,DbD Performance Metric,1,Rate at which customers browsed New Verticals carousels on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_carousels_fyp_rx,DbD Performance Metric,1,Rate at which customers browsed Restaurant carousels on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_items_fyp_nv,DbD Performance Metric,1,Rate at which customers browsed New Verticals items on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_items_fyp_rx,DbD Performance Metric,1,Rate at which customers browsed Restaurant items on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_fyp_nv,DbD Performance Metric,1,Rate at which customers browsed New Verticals stores on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_fyp_rx,DbD Performance Metric,1,Rate at which customers browsed Restaurant stores on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_nav_bar_nv,DbD Performance Metric,1,Rate at which customers browsed New Verticals stores via the nav bar on the post-checkout page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_nav_bar_rx,DbD Performance Metric,1,Rate at which customers browsed Restaurant stores via the nav bar on the post-checkout page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_nv,DbD Performance Metric,1,Rate at which customers browsed New Verticals stores on the post-checkout page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_browsed_stores_rx,DbD Performance Metric,1,Rate at which customers browsed Restaurant stores on the post-checkout page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_fyp_carousel_item_depth_nv,DbD Performance Metric,1,Average number of New Verticals items a customer browsed within a single carousel through horizontal scroll depth on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_fyp_carousel_item_depth_rx,DbD Performance Metric,1,Average number of Restaurant items a customer browsed within a single carousel through horizontal scroll depth on the post-checkout For-You page.,"browsing metrics - these are important, but often misleading. a well placed carousel in position 0 will regress this metric (and that would be a good thing!) conversely, worse recommendations at the top of the feed could drive the average user further down, but that would be a bad thing."
dbd_post_checkout_order_rate,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day after the primary order checkout.,
dbd_post_checkout_order_rate_14d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day after checkout over the past 14 days.,
dbd_post_checkout_order_rate_28d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day after checkout over the past 28 days.,
dbd_post_checkout_order_rate_7d,DbD Performance Metric,0,Average number of DoubleDash (O2) orders per customer per day after checkout over the past 7 days.,
dbd_post_o2_vp_per_cx,DbD Performance Metric,0,Average variable profit (VP) per customer from DoubleDash (O2) orders placed post-checkout.,"big focus in 2026 - not necessarily launch blocking if regressing, but definitely a focus point for DbD these days. the platform grew to where it is now on the strength of its $0 delivery fee, which creates a significant VP headwind. these days, we're averaging - 30 cents per order, and there are only two wayhs to claw this back : reduce costs (typically dasher costs) or increase order value"
dbd_postcheckout_search_avg_click_position,DbD Performance Metric,,Average position in the search results list where a customer clicked after initiating a search post-checkout.,
dbd_postcheckout_search_back_button_ctr,DbD Performance Metric,,Click-through rate for the back button during post-checkout search flow.,
dbd_postcheckout_search_browse_button_ctr,DbD Performance Metric,,Click-through rate for the browse button during post-checkout search.,
dbd_postcheckout_search_ctr,DbD Performance Metric,,Overall click-through rate on search results shown in the post-checkout DoubleDash flow.,
dbd_postcheckout_search_nsr,DbD Performance Metric,,Rate at which searches returned no results in the post-checkout DoubleDash flow.,
dbd_postcheckout_searched,DbD Performance Metric,,Rate at which customers initiated a search from the post-checkout DoubleDash experience.,
dbd_pre_checkout_order_rate,DbD Performance Metric,,Average number of DoubleDash (O2) orders per customer per day before the primary order checkout.,
dbd_pre_checkout_order_rate_14d,DbD Performance Metric,,Average number of DoubleDash (O2) orders per customer per day before checkout over the past 14 days.,
dbd_pre_checkout_order_rate_28d,DbD Performance Metric,,Average number of DoubleDash (O2) orders per customer per day before checkout over the past 28 days.,
dbd_pre_checkout_order_rate_7d,DbD Performance Metric,,Average number of DoubleDash (O2) orders per customer per day before checkout over the past 7 days.,
dbd_total_o2_gmv_1pc,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by 1st-party convenience merchants.,
dbd_total_o2_gmv_3pc,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by 3rd-party convenience merchants.,
dbd_total_o2_gmv_alc,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by alcohol merchants.,
dbd_total_o2_gmv_flowers,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by flower merchants.,
dbd_total_o2_gmv_grocery,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by grocery merchants.,
dbd_total_o2_gmv_nv,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by New Verticals merchants.,
dbd_total_o2_gmv_pets,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by pet supply merchants.,
dbd_total_o2_gmv_rx,DbD Performance Metric,,Total topline revenue (GMV) from DoubleDash (O2) orders fulfilled by restaurant merchants.,
dbd_total_o2_orders_1pc,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by 1st-party convenience merchants.,
dbd_total_o2_orders_3pc,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by 3rd-party convenience merchants.,
dbd_total_o2_orders_alc,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by alcohol merchants.,
dbd_total_o2_orders_flowers,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by flower merchants.,
dbd_total_o2_orders_grocery,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by grocery merchants.,
dbd_total_o2_orders_nv,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by New Verticals merchants.,
dbd_total_o2_orders_pets,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by pet supply merchants.,
dbd_total_o2_orders_rx,DbD Performance Metric,,Total number of DoubleDash (O2) orders fulfilled by restaurant merchants.,
doubledash_active_user,DbD Performance Metric,0,Customer who placed at least one DoubleDash order within the evaluation period.,"also called pMAU, this is a super useful topline customer acquisition metric. # cx placing doubledash order/ #cx placing any order"
doubledash_l_28_d_post_checkout_mau,DbD Performance Metric,0,Number of unique customers who placed a DoubleDash order post-checkout in the last 28 days.,
doubledash_l_28_d_pre_checkout_mau,DbD Performance Metric,0,Number of unique customers who placed a DoubleDash order pre-checkout in the last 28 days.,
doubledash_post_checkout_active_user,DbD Performance Metric,,Customer who placed at least one DoubleDash order post-checkout during the evaluation period.,
doubledash_post_checkout_wau,DbD Performance Metric,,Number of unique customers who placed at least one DoubleDash order post-checkout in the past 7 days.,post-checkout pMAU. lower variance than topline
doubledash_pre_checkout_active_user,DbD Performance Metric,,Customer who placed at least one DoubleDash order pre-checkout during the evaluation period.,
doubledash_pre_checkout_wau,DbD Performance Metric,,Number of unique customers who placed at least one DoubleDash order pre-checkout in the past 7 days.,pre-checkout pMAU. lower variance than topline
doubledash_wau,DbD Performance Metric,,Number of unique customers who placed at least one DoubleDash order in the past 7 days.,
dp_paid_pause_cancel,DashPass Check Metric,,Rate at which DashPass subscribers paused or canceled their membership.,
dsmp_order_rate_14d,DoorDash Check Metric,0,Average number of orders per customer per day across DoorDash over the past 14 days.,"windowed core dd order rate metric, untouchable check metric"
dsmp_order_rate_28d,DoorDash Check Metric,0,Average number of orders per customer per day across DoorDash over the past 28 days.,"windowed core dd order rate metric, untouchable check metric"
first_contact_resolution_rate,DoorDash Check Metric,,Percentage of customer support tickets resolved on the first contact without requiring additional follow-up.,
gov_per_order_curie,DoorDash Check Metric,0,Gross order value per order for the Curie cohort or experimental group.,
hp_session_long_term_relevance_v_2,DoorDash Check Metric,,"Version 2 metric estimating the long-term relevance of homepage session outcomes (e.g., purchase likelihood, engagement).",
hqdr_ratio,DoorDash Check Metric,0,Ratio of deliveries meeting the high-quality delivery criteria vs. all deliveries.,"a concern for dbd given batching, lateness risks associated with batching"
mx_takehome_pay_7d,DoorDash Check Metric,,Average merchant take-home pay in Mexico over the past 7 days.,
net_revenue_per_order,DoorDash Check Metric,,"Net revenue earned by DoorDash per order, after subtracting costs, promotions, and incentives.",
nv_fco_all,NV Check Metric,,Number of customers who placed their first completed New Verticals order (across all verticals).,
nv_hqfr,NV Check Metric,,"Rate at which New Verticals orders are fulfilled without issues (e.g., on-time, complete, accurate).",
nv_mau,NV Check Metric,0,Number of unique customers who placed at least one New Verticals order in the past month.,untouchable adjacent team metric
o1_aov,DoorDash Check Metric,0,Average order value of the primary (O1) order placed before a DoubleDash attachment.,"pay attention to this for PCC tests, given previously mentioned cart building interference. not launch blocking if this regresses, but ox subtotal combined must be solidly neutral+"
